ID,QuestionText,AnswerA,AnswerB,AnswerC,AnswerD,CorrectIndex,Explanation
BHQ22,"What is the fundamental principle governing behavior at AARC, overriding specific rules if necessary?",Ensuring personal equipment is always used first,Following the coach's direct orders,Common sense prevailing to ensure safety and prevent damage,Prioritizing speed on the water,3,The AARC Safety Rules state that 'Common sense must prevail - do not engage in behavior that jeopardizes any person's well-being or that may result in damage to equipment or facilities.'
BHQ39,"According to the AARC Code of Conduct, besides coaches, who should members treat with respect and kindness?",Only the club president,"All club members, regardless of ability level",Only experienced rowers,Only members of their own crew,2,"The Code of Conduct emphasizes treating all club members with equal respect and fairness, acknowledging varying ability levels."
BHQ40,"If you observe an immediate threat to safety (e.g., potential collision) while rowing in a coxed boat, what should you do?",Stay silent and let the coxswain handle it,Discuss it with the stroke seat first,Alert others immediately,Wait until the boat stops,3,"If an immediate safety threat is observed by a rower, the rower should alert others immediately, overriding the general 'no talking' rule."
BHQ41,"When meeting an oncoming boat, how should you typically pass?",Pass on whichever side has more room,Starboard-to-starboard (right-to-right),Port-to-port (left-to-left),The faster boat decides,3,"When meeting oncoming traffic, both boats should be on their respective starboard sides, resulting in a port-to-port passing situation."
BHQ42,"When carrying a boat with others, who typically gives the commands for lifting and moving?",The strongest person,The person at the bow,The designated coxswain or person in charge of the carry,Everyone shouts commands together,3,Boat carries should be coordinated by a coxswain or designated person giving commands to ensure everyone lifts and moves together safely.
BHQ43,What action is crucial for maximizing stability right after you manage to get back into the boat post-capsize?,Adjust your seat position,"Quickly lift the oar handles slightly, keeping blades flat on the water",Immediately start bailing water,Check your foot stretchers,2,"Immediately lift the hand holding the oar handles and get the blades flat on the water for stability, as the boat will be tippy with water inside."
BHQ44,What should you check regarding the oarlocks (gates) before launching?,That they are freshly painted,That they match the color of the boat,That they are loose enough to spin freely,That the gates close properly and hold the oar securely,4,Ensure the oarlock gates close properly and hold the oar securely before launching.
BHQ45,"If you need to stop on the water for a short break, where is the safest place to do so?",Right next to another rowing boat,"Close to the starboard shore, out of the main traffic flow",In the exact middle of the river,Underneath a bridge,2,"If you need to stop, move towards the starboard shore to get out of the primary traffic lane."
BHQ46,What does the term 'Port' refer to on a boat?,The left side when facing forward (rower's right when seated),The right side when facing forward (rower's left when seated),The front of the boat,The back of the boat,1,"Port is the left side of the boat when facing the bow. For the rower facing the stern, it is their right side."
BHQ47,What does the term 'Starboard' refer to on a boat?,The right side when facing forward (rower's left when seated),The left side when facing forward,The front of the boat,The back of the boat,1,"Starboard is the right side of the boat when facing the bow. For the rower facing the stern, it is their left side."
BHQ48,What does the command 'Way enough' (or 'Weigh enough') mean?,Stop rowing,Turn the boat,Check your balance,Start rowing harder,1,'Way enough' (sometimes spelled 'Weigh enough') is the command to stop rowing.
BHQ49,What does the command 'Hold water' mean?,Stop the boat quickly by squaring blades in the water,Continue rowing but check your course,Grab your water bottle,Bail water out of the boat,1,'Hold water' is a command to stop the boat quickly by squaring the blades vertically in the water to create drag.
BHQ50,"When participating in rowing activities at the club, which boat and oars should you use?",The newest equipment available,The boat you personally like most,Any boat that appears to be in good condition,Only the boat and oars that have been assigned to you,4,Always use only the boat and oars that you have been assigned. Using unassigned equipment can disrupt scheduled uses and proper equipment rotation.
